Symbol,Name,Sector,Market Cap Type,AVG CLOSING PRE 08,STD PRE 08,KURTOSIS PRE 08,ENTROPY PRE 08,25TH PERCENTILE PRE 08,50TH PERCENTILE PRE 08,75TH PERCENTILE PRE 08,MIN PRE 08,MAX PRE 08,% Change Pre-During 08,AVG CLOSING DURING 08,STD DURING 08,KURTOSIS DURING 08,ENTROPY DURING 08,25TH PERCENTILE DURING 08,50TH PERCENTILE DURING 08,75TH PERCENTILE DURING 08,MIN DURING 08,MAX DURING 08,% Change During-Post 08,AVG CLOSING POST 08,STD POST 08,KURTOSIS POST 08,ENTROPY POST 08,25TH PERCENTILE POST 08,50TH PERCENTILE POST 08,75TH PERCENTILE POST 08,MIN POST 08,MAX POST 08,AVG CLOSING PRE COVID,STD PRE COVID,KURTOSIS PRE COVID,ENTROPY PRE COVID,25TH PERCENTILE PRE COVID,50TH PERCENTILE PRE COVID,75TH PERCENTILE PRE COVID,MIN PRE COVID,MAX PRE COVID,% Change Pre-During COVID,AVG CLOSING DURING COVID,STD DURING COVID,KURTOSIS DURING COVID,ENTROPY DURING COVID,25TH PERCENTILE DURING COVID,50TH PERCENTILE DURING COVID,75TH PERCENTILE DURING COVID,MIN DURING COVID,MAX DURING COVID
AAPL,Apple Inc.,Technology,Mega Cap Stock,14.83860558,3.912498645,-0.8015757174332596,5.4918582961286315,11.16,14.69,17.125,10.0,23.72,18.33463323,17.55920949,4.17183491,-1.3230917436944007,5.504165677033554,13.73,18.35,21.43,9.95,24.11,45.46294284,25.54214286,4.267322814,-0.7436093060969399,5.515505070642816,22.9275,24.98,29.17,16.75,33.89,205.9687698,35.01270056,-0.31143548057631554,5.515324081160177,183.45250000000001,200.755,221.885,139.38,292.16,39.45839067,287.2407317,27.72662244,-0.9685045819928292,4.402044969704313,267.365,288.27,314.505,223.76,326.32
MSFT,Microsoft Corporation,Technology,Mega Cap Stock,22.37749004,1.444877183,2.9845631465123885,5.523440653138451,21.465,22.18,22.81,19.87,27.74,-9.911233532999999,20.15960474,2.8230978710000003,-0.15609962362652574,5.523337524495084,19.09,20.91,21.75,13.41,26.56,6.78001303,21.52642857,2.0697027,-1.2541670016618058,5.524765213826363,19.677500000000002,22.21,23.302500000000002,17.35,24.69,128.8275794,15.23579998,-0.7723293545393917,5.522348102572572,117.45249999999999,133.57999999999998,137.88,95.45,158.09,31.65498231,169.60792680000003,14.31184425,-0.3697344033560799,4.4031115098967035,160.6325,173.32,182.0225,135.04,187.66
IBM,International Business Machines Corporation,Technology,Large Cap Stock,71.63187251,5.801559727999999,-1.3110382590208154,5.522194792080493,66.145,71.55,77.37,61.96,82.13,6.734179941,76.4556917,11.24142495,-0.9089231896154196,5.522173900106798,68.86,80.32,85.75,50.3,90.29,16.326842499999998,88.93849206,4.87675347,2.7286673980239198,5.5278857345486845,85.89250000000001,90.50999999999999,92.3825,71.0,95.93,130.8535317,6.343192341,3.149084878646619,5.528233255606429,129.0575,131.195,134.2575,105.22,144.39,-5.7378396989999985,123.3453659,15.35108636,-0.414411555039802,4.399161029724825,115.34,121.095,128.2825,93.52,153.25
GE,General Electric Company,Industrials,Large Cap Stock,23.15709163,1.392326365,-0.9182385393394892,5.523660279630708,21.89,22.97,24.085,20.84,26.12,-23.19326703,17.78620553,4.0378397480000014,-0.8120445290702034,5.505995861903579,14.94,18.41,21.1,8.32,24.27,-38.27613589,10.97833333,1.33528859,0.3486740379864504,5.52186325538776,10.5075,11.105,11.552500000000002,7.36,13.65,9.750436508,0.930689784,-0.7219279422829072,5.524870038528327,9.0475,9.855,10.3425,7.7,11.56,-15.03319734,8.284634146,2.487110076,-0.8135737914539476,4.365065569845169,6.48,7.025,10.7475,5.49,13.15
WMT,"Wal-Mart Stores, Inc.",Consumer Defensive,Mega Cap Stock,34.20342629,1.302360094,-0.4828112509157592,5.524727662589877,33.35,34.49,35.1,31.15,37.54,20.14652829,41.09422925,3.003291696,-0.6035455930565163,5.530691751216847,38.95,41.85,43.18,33.84,47.36,-2.302352491,40.14809524,1.794928541,-0.9428010926647654,5.528428874834342,38.6625,40.575,41.5925,36.22,43.32,106.4394841,9.35946159,-1.5299379628177945,5.525561276282087,97.0125,107.655,116.04,90.22,120.22,12.12978608,119.3503659,6.438878333,-0.6322940443602065,4.40527706167455,114.57000000000001,118.83500000000001,124.01,103.14,131.75
T,AT&T Inc.,Communication Services,Mega Cap Stock,19.19338645,1.237926365,-0.5813267184397168,5.523355296833943,18.25,19.4,20.01,16.43,21.31,-10.9088707,17.09960474,2.240877415,-1.1113600861466348,5.524722669247471,15.04,17.05,19.2,11.8,20.79,-14.560124800000002,14.60988095,0.572901667,0.7559741991277901,5.528659661943611,14.305,14.605,14.945,12.9,16.02,32.2134127,3.550775385,-1.3915327518391238,5.523428089686316,28.8575,31.43,35.935,26.95,38.43,-0.425509822,32.07634146,3.5332140130000003,-1.2391770286388886,4.4008178121558466,29.515,30.689999999999998,36.1575,26.31,37.94
JNJ,Johnson & Johnson,Healthcare,Mega Cap Stock,43.17808765,1.46457814,-0.7326773500192343,5.524880808020833,42.03,43.2,44.295,40.4,46.96,4.5871589880000005,45.15873518,2.644305949,-0.6120049031647659,5.53167993485058,43.24,45.33,46.63,39.08,50.59,0.286368467,45.28805556,1.946277423,-0.9818076660126684,5.528506382874024,43.7775,45.095,47.11749999999999,40.22,48.58,131.2259524,4.982185824,-0.2772183037377265,5.528714788035831,127.37,130.875,134.8075,120.66,144.51,8.103523331,141.859878,9.601531577000001,0.7616501445153792,4.404388828236023,135.87,146.125,148.5975,110.37,154.44
PG,Procter & Gamble Company (The),Consumer Defensive,Mega Cap Stock,44.03717131,2.460365251,-0.02020379561058805,5.523928997994401,42.445,42.97,44.46,41.09,50.62,3.850283539,45.73272727,2.280115057,-0.5285356051410695,5.532151602816398,44.32,45.47,47.62,40.09,50.79,-5.637198756,43.15468254,2.942968306,-0.7423676472503993,5.527066398499962,40.957499999999996,44.405,45.48,36.27,46.85,108.7868254,10.86954975,-1.1714613817512678,5.524395351205927,100.33749999999999,109.795,118.99249999999999,87.06,124.52,6.893660228,116.2862195,6.312040354,0.5681841012824855,4.405244272503556,113.14499999999998,116.13499999999999,120.5775,97.05,126.3
KO,Coca-Cola Company (The),Consumer Defensive,Mega Cap Stock,15.23633466,1.506334396,-0.5843442042568872,5.520667169926428,13.67,14.99,15.76,12.89,18.61,7.678164718,16.40620553,1.605524882,-0.8332201513275588,5.5285352440984,15.25,16.62,17.47,12.62,19.37,9.819073156,18.01714286,1.06306432,-0.5176497984059956,5.527671582436762,17.4575,18.11,18.564999999999998,15.64,19.81,49.56412698,3.597711152,-1.406637420488407,5.52678359450218,45.53,50.004999999999995,52.5025,42.55,54.37,-0.909105892,49.11353659,6.102310304,-0.9960062579518696,4.399222433484401,44.597500000000004,46.315,54.769999999999996,37.22,59.07
PFE,"Pfizer, Inc.",Healthcare,Mega Cap Stock,14.96103586,0.601939966,-0.4153261708153506,5.524647188413094,14.535,14.97,15.37,13.47,16.32,-19.61675566,12.02616601,1.166238665,-0.7903428208286938,5.528731500180283,11.06,12.01,12.67,9.3,14.54,-4.4467797860000005,11.49138889,0.86505697,-0.6265870066226698,5.526590339138336,10.8575,11.565000000000001,12.1425,9.44,13.56,38.4625,2.47439471,-1.0921484869679423,5.527348034872656,36.2775,39.03,40.475,33.24,42.7,-8.560920122999999,35.1697561,2.689979107,-0.28866173376505294,4.403759604063543,33.4725,35.879999999999995,37.4325,28.21,38.19
